Name,City,Phone,Type,Service,Location,Discount
松竹梅餐厅,北京,6418 2679,餐饮,日韩料理,东城区东中街东环广场A座B1,晚餐零点9折
西蜀豆花庄（中粮店）,北京,6522 4925,餐饮,川湘菜,东城区中粮广场地下一层,
北京新侨三宝乐（崇文门）,北京,6513 3366-1771,面包房、糕点,面包房、糕点,崇文门地铁东北角 新桥饭店东侧,
北京福满楼酒家有限公司,北京,6597 1166-8068,餐饮,粤闽菜,朝阳区华都饭店一层,送果盘，单间免最低消费
川办餐厅,北京,6512 2277-6101,餐饮,川湘菜,东城区建内大街贡院头条5号,
吉祥鸟,北京,6468 0808,餐饮,川湘菜,朝阳区左家庄北里五号,
福楼,北京,6595 5135,餐饮,西餐,朝阳区东三环隆博广场二层,9折（套餐、酒水、海鲜、特惠活动除外）优惠；
夜上海餐厅,北京,6510 1326,餐饮,其它中餐,东城区光华长安大厦二层,9.5折；酒水、海鲜、燕窝除外
都王烤鸭店（亚运村店）,北京,6491 9667,餐饮,北方菜,朝阳区亚运村惠忠里203号楼,88折优惠;酒水、海鲜、烤鸭除外
天华毛家菜,北京,6348 6438,餐饮,川湘菜,宣武区莲花池东路20号,9.5折，酒水除外
香港美食城（王府井店）,北京,6525 7349,餐饮,粤闽菜,东城区东华门大街18号,
大三元酒家,北京,6401 8183,餐饮,其它中餐,西城区景山西街50号,
华润 （中友店）,北京,6602.99252704032,零售,购物,西城区西单北大街176号华南大厦B2层（中友百货地下二层）,
华润（东方店）,北京,8518 5039,零售,购物,东城区东方新天地商场地铁层BB01A号,
华润（国贸店）,北京,6519.60387323944,零售,购物,朝阳区建外大街国贸商城地下一层,
全聚德烤鸭（王府井店）,北京,6522 8384,餐饮,北方菜,东城区王府井南口帅府园胡同9号,
和平宾馆食坊,北京,6512 8833-食坊,餐饮,西餐,东城区和平宾馆一层,9折
华润（东环店）,北京,6418 1006,零售,购物,东城区东中街东环广场地下一层,
华润（嘉里店）,北京,8529 9409,零售,购物,朝阳区光华路一号嘉里中心B1层,
卡本妮红酒吧（北京和平宾馆有限公司）,北京,6512 8833-7621,餐饮,酒吧，咖啡厅、茶馆,东城区和平宾馆正门旁,9折
华润（太月园店）,北京,8205 8703,零售,购物,海淀区知春路太月园3号楼,
星期五餐厅（国际大厦店）,北京,8526 3388,餐饮,西餐,朝阳区建外大街19号国际大厦C座,9折优惠
颐方园体育健康城,北京,6768 6118,健身,健身,丰台区成寿寺路甲12号,单次消费9折优惠；购买健康城优惠卡无折扣.如持卡人确有意愿在本店消费餐饮类项目，应该在餐饮消费结帐的同时出示雅高卡；如持卡人有意愿在商品部购买商，应该在商品售价的基础上加收10%的金额，同时出示雅高卡。
郡王府体育中心游泳馆,北京,6594 0433,健身,健身,朝阳区朝阳公园南路21号,体检、健身8.5折优惠
